old_symbol	new_symbol
ACTRT3	ACTRT3
ARPM1	ACTRT3
ACVR1	ACVR1
SKR1	ACVR1
ALK2	ACVR1
ACVR1A	ACVR1
ACVRLK2	ACVR1
ACVR1B	ACVR1B
ALK4	ACVR1B
SKR2	ACVR1B
ActRIB	ACVR1B
ACVRLK4	ACVR1B
ACVR1C	ACVR1C
ALK7	ACVR1C
ACVRLK7	ACVR1C
ACVR2A	ACVR2A
ACTRII	ACVR2A
ACVR2	ACVR2A
ACVR2B	ACVR2B
ActR-IIB	ACVR2B
ACVRL1	ACVRL1
HHT2	ACVRL1
ALK1	ACVRL1
HHT	ACVRL1
ACVRLK1	ACVRL1
ORW2	ACVRL1
ACY1	ACY1
ACY3	ACY3
HCBP1	ACY3
MGC9740	ACY3
ACY-3	ACY3
ACYP1	ACYP1
ACYP2	ACYP2
ADA	ADA
ADA2	ADA2
ADGF	ADA2
IDGFL	ADA2
CECR1	ADA2
ADAD1	ADAD1
Tenr	ADAD1
ADAD2	ADAD2
TENRL	ADAD2
FLJ00337	ADAD2
ADAL	ADAL
ADAM2	ADAM2
PH-30b	ADAM2
PH30	ADAM2
CT15	ADAM2
FTNB	ADAM2
ADAM7	ADAM7
GP-83	ADAM7
EAPI	ADAM7
ADAM8	ADAM8
CD156	ADAM8
MS2	ADAM8
CD156a	ADAM8
ADAM9	ADAM9
MDC9	ADAM9
KIAA0021	ADAM9
MCMP	ADAM9
Mltng	ADAM9
CORD9	ADAM9
ADAM10	ADAM10
kuz	ADAM10
MADM	ADAM10
HsT18717	ADAM10
CD156c	ADAM10
ADAM11	ADAM11
MDC	ADAM11
ADAM12	ADAM12
MCMPMltna	ADAM12
MLTN	ADAM12
ADAM15	ADAM15
MDC15	ADAM15
ADAM17	ADAM17
cSVP	ADAM17
CD156B	ADAM17
TACE	ADAM17
ADAM18	ADAM18
tMDCIII	ADAM18
ADAM27	ADAM18
ADAM19	ADAM19
MLTNB	ADAM19
ADAM20	ADAM20
ADAM21	ADAM21
ADAM31	ADAM21
ADAM22	ADAM22
MDC2	ADAM22
ADAM23	ADAM23
MDC3	ADAM23
ADAM28	ADAM28
eMDCII	ADAM28
MDC-Lm	ADAM28
MDC-Ls	ADAM28
ADAM23	ADAM28
ADAM29	ADAM29
svph1	ADAM29
CT73	ADAM29
ADAM30	ADAM30
svph4	ADAM30
ADAM32	ADAM32
ADAM33	ADAM33
DKFZp434K0521	ADAM33
dJ964F7.1	ADAM33
C20orf153	ADAM33
ADAMDEC1	ADAMDEC1
M12.219	ADAMDEC1
ADAMTS1	ADAMTS1
C3-C5	ADAMTS1
METH1	ADAMTS1
KIAA1346	ADAMTS1
ADAMTS2	ADAMTS2
ADAMTS-3	ADAMTS2
hPCPNI	ADAMTS2
PCINP	ADAMTS2
ADAM-TS2	ADAMTS2
NPI	ADAMTS2
ADAMTS3	ADAMTS3
KIAA0366	ADAMTS3
ADAMTS-4	ADAMTS3
ADAMTS4	ADAMTS4
KIAA0688	ADAMTS4
ADAMTS-2	ADAMTS4
ADMP-1	ADAMTS4
ADAMTS5	ADAMTS5
ADMP-2	ADAMTS5
ADAMTS11	ADAMTS5
ADAMTS6	ADAMTS6
ADAM-TS6	ADAMTS6
ADAMTS7	ADAMTS7
ADAM-TS7	ADAMTS7
DKFZp434H204	ADAMTS7
ADAMTS8	ADAMTS8
METH2	ADAMTS8
FLJ41712	ADAMTS8
ADAM-TS8	ADAMTS8
ADAMTS9	ADAMTS9
KIAA1312	ADAMTS9
ADAMTS10	ADAMTS10
ADAM-TS10	ADAMTS10
ADAMTS12	ADAMTS12
ADAMTS13	ADAMTS13
VWFCP	ADAMTS13
TTP	ADAMTS13
vWF-CP	ADAMTS13
FLJ42993	ADAMTS13
MGC118899	ADAMTS13
MGC118900	ADAMTS13
DKFZp434C2322	ADAMTS13
C9orf8	ADAMTS13
ADAMTS14	ADAMTS14
ADAMTS15	ADAMTS15
ADAMTS16	ADAMTS16
ADAMTS16s	ADAMTS16
ADAMTS17	ADAMTS17
FLJ32769	ADAMTS17
FLJ16363	ADAMTS17
ADAMTS18	ADAMTS18
ADAMTS21	ADAMTS18
ADAMTS19	ADAMTS19
ADAMTS20	ADAMTS20
GON-1	ADAMTS20
ADAMTSL1	ADAMTSL1
ADAMTSR1	ADAMTSL1
FLJ35283	ADAMTSL1
C9orf94	ADAMTSL1
ADAMTSL2	ADAMTSL2
KIAA0605	ADAMTSL2
ADAMTSL3	ADAMTSL3
KIAA1233	ADAMTSL3
punctin-2	ADAMTSL3
ADAMTSL4	ADAMTSL4
DKFZP434K1772	ADAMTSL4
TSRC1	ADAMTSL4
ADAMTSL5	ADAMTSL5
THSD6	ADAMTSL5
ADAP1	ADAP1
GCS1L	ADAP1
CENTA1	ADAP1
ADAP2	ADAP2
