drug	type	atc
pinaverium	small molecule	A03AX04
concord grape	biotech	
blatella germanica	biotech	
carfilzomib	small molecule	L01XX45
demegestone	small molecule	G03DB05
rufinamide	small molecule	N03AF03
pentamidine	small molecule	P01CX01
drostanolone	small molecule	
ioxitalamic acid	small molecule	V08AA05
ustilago nuda hordei	biotech	
daclatasvir	small molecule	J05AX14
domperidone	small molecule	A03FA03
menotropins	biotech	G03GA02
sulfathiazole	small molecule	J01EB07
l-citrulline	small molecule	
flupirtine	small molecule	N02BG07
l-proline	small molecule	
lithium	small molecule	D11AX04
mezlocillin	small molecule	J01CR50
carbocisteine	small molecule	R05CB03
levomethadyl acetate	small molecule	N07BC03
capreomycin	small molecule	J04AB30
hydroxyethyl ethylcellulose	small molecule	
tazarotene	small molecule	D05AX05
papaya	biotech	
palbociclib	small molecule	L01XE33
rumex acetosella whole	biotech	
verapamil	small molecule	C08DA51
pizotifen	small molecule	N02CX01
sumatriptan	small molecule	N02CC01
garlic	biotech	
zaleplon	small molecule	N05CF03
netupitant	small molecule	
doconexent	small molecule	
tuna	biotech	
oxymetholone	small molecule	A14AA05
cefapirin	small molecule	J01DB08
chlorcyclizine	small molecule	R06AE04
isoconazole	small molecule	G01AF07
betahistine	small molecule	N07CA01
barley malt	biotech	
cow milk	biotech	
carpinus caroliniana pollen	biotech	
cladosporium herbarum	biotech	
glycol salicylate	small molecule	
measles virus strain enders' attenuated edmonston live antigen	biotech	
nadroparin	small molecule	B01AB06
denileukin diftitox	biotech	L01XX29
european pilchard	biotech	
benralizumab	biotech	
mineral oil	small molecule	A06AA51
isradipine	small molecule	C08CA03
cisplatin	small molecule	L01XA01
clonixin	small molecule	
thiopental	small molecule	N05CA19
naftifine	small molecule	D01AE22
bethanidine	small molecule	C02CC01
rimexolone	small molecule	H02AB12
doxylamine	small molecule	R06AA59
metrizamide	small molecule	V08AB01
dopamine	small molecule	C01CA04
quercus gambelii pollen	biotech	
l-alanine	small molecule	
suvorexant	small molecule	
etelcalcetide	small molecule	
phenoxybenzamine	small molecule	C04AX02
microsporum audouinii	biotech	
cherry	biotech	
dinoprost tromethamine	small molecule	
mustard seed	biotech	
azelastine	small molecule	R01AC03
dicoumarol	small molecule	B01AA01
thallous chloride	small molecule	
gamma-aminobutyric acid	small molecule	
guaifenesin	small molecule	R05CA03
felodipine	small molecule	C08CA02
floxuridine	small molecule	
coagulation factor xiii a-subunit (recombinant)	biotech	B02BD11
propacetamol	small molecule	N02BE05
panitumumab	biotech	L01XC08
alteplase	biotech	S01XA13
perflubutane	small molecule	
clindamycin	small molecule	J01FF01
procaine	small molecule	S01HA05
xanthium strumarium pollen	biotech	
apixaban	small molecule	B01AF02
dapiprazole	small molecule	S01EX02
koeleria macrantha pollen	biotech	
isothipendyl	small molecule	D04AA22
human varicella-zoster immune globulin	biotech	
turpentine	small molecule	
zinc citrate	small molecule	
tasimelteon	small molecule	N05CH03
butorphanol	small molecule	N02AF01
levallorphan	small molecule	
icotinib	small molecule	
abarelix	small molecule	L02BX01
dihomo-gamma-linolenic acid	small molecule	
potassium bicarbonate	small molecule	A12BA04
bretylium	small molecule	
etravirine	small molecule	J05AG04
luliconazole	small molecule	D01AC18
immune globulin human	biotech	
glucosamine	small molecule	M01AX05
secretin	biotech	V04CK01
ecamsule	small molecule	
risedronate	small molecule	M05BB02
metamizole	small molecule	N02BB02
isopropyl myristate	small molecule	
rubidium	small molecule	
soybean	biotech	
diatrizoate	small molecule	V08AA01
bovine type i collagen	biotech	
mafenide	small molecule	D06BA03
medroxyprogesterone acetate	small molecule	G03FA12
pegloticase	biotech	M04AX02
lumefantrine	small molecule	P01BF01
viloxazine	small molecule	N06AX09
corylus americana pollen	biotech	
neomycin	small molecule	A07AA51
pramocaine	small molecule	C05AD07
mesocricetus auratus skin	biotech	
okra	biotech	
amcinonide	small molecule	D07AC11
carglumic acid	small molecule	A16AA05
turoctocog alfa	biotech	
flounder	biotech	
atenolol	small molecule	C07CB03
hydroxyurea	small molecule	L01XX05
pseudotsuga menziesii pollen	biotech	
stannous chloride	small molecule	
bismuth subnitrate	small molecule	A02BX12
taraxacum officinale pollen	biotech	
magnesium hydroxide	small molecule	A02AA04
diltiazem	small molecule	C05AE03
fominoben	small molecule	
streptococcus pneumoniae type 3 capsular polysaccharide antigen	biotech	
orphenadrine	small molecule	M03BC51
entecavir	small molecule	J05AF10
solenopsis richteri	biotech	
gamolenic acid	small molecule	D11AX02
tazobactam	small molecule	J01CG02
carya glabra pollen	biotech	
tioconazole	small molecule	G01AF08
mefloquine	small molecule	P01BF02
copper cu-64	small molecule	
aluminum oxide	small molecule	D10AX04
heparin	small molecule	S01XA14
enviomycin	small molecule	
rumex salicifolius var. mexicanus pollen	biotech	
karaya gum	biotech	
pralidoxime	small molecule	V03AB04
streptococcus pneumoniae type 5 capsular polysaccharide antigen	biotech	
fenofibrate	small molecule	C10BA04
reviparin	small molecule	B01AB08
cholecystokinin	small molecule	V04CK02
bufexamac	small molecule	M02AA09
triethylenetetramine	small molecule	
apomorphine	small molecule	G04BE07
