drug	type	atc
probucol	small molecule	C10AX02
pirlindole	small molecule	
ambrosia tenuifolia pollen	biotech	
cinnarizine	small molecule	N07CA52
tetrabenazine	small molecule	N07XX06
pyrithione	small molecule	D11AX12
liotrix	small molecule	
butenafine	small molecule	D01AE23
ethinyl estradiol	small molecule	G03AA03
penicillium camemberti	biotech	
rabies virus inactivated antigen, a	biotech	J06AA06
mephentermine	small molecule	C01CA11
valproate bismuth	small molecule	
dihydroergocornine	small molecule	
diclofenac	small molecule	M01AB05
sulfametopyrazine	small molecule	J01ED02
phalaris minor pollen	biotech	
molindone	small molecule	N05AE02
paliperidone	small molecule	N05AX13
hexachlorophene	small molecule	D08AE01
salsalate	small molecule	N02BA06
nilotinib	small molecule	L01XE08
ethosuximide	small molecule	N03AD51
poa pratensis pollen	biotech	
rofecoxib	small molecule	M01AH02
vespula pensylvanica venom protein	biotech	
culex pipiens	biotech	
inositol	small molecule	A11HA07
sugarcane	biotech	
raloxifene	small molecule	G03XC01
bismuth subgallate	small molecule	
paramethadione	small molecule	N03AC01
deferoxamine	small molecule	V03AC01
isocarboxazid	small molecule	N06AF01
blackberry	biotech	
agkistrodon piscivorus antivenin	biotech	
alglucosidase alfa	biotech	A16AB07
oleic acid	small molecule	
fenoprofen	small molecule	M01AE04
arformoterol	small molecule	
clofarabine	small molecule	L01BB06
olmutinib	small molecule	
anthrax immune globulin human	biotech	
nusinersen	biotech	
sulodexide	biotech	B01AB11
cyanocobalamin	small molecule	B03AE01
podophyllin	small molecule	
iobitridol	small molecule	V08AB11
carob	biotech	
cefaclor	small molecule	J01DC04
stepronin	small molecule	R05CB11
acepromazine	small molecule	N05AA04
raspberry	biotech	
red bell pepper	biotech	
haemophilus influenzae type b strain 1482 capsular polysaccharide tetanus toxoid conjugate antigen	biotech	
venetoclax	small molecule	
everolimus	small molecule	L01XE10
toloxatone	small molecule	N06AG03
tesamorelin	small molecule	H01AC06
bepridil	small molecule	C08EA02
zeaxanthin	small molecule	
selenic acid	small molecule	A12CE01
bimatoprost	small molecule	S01EE03
carmustine	small molecule	L01AD01
1-palmitoyl-2-oleoyl-sn-glycero-3-(phospho-rac-(1-glycerol))	small molecule	
pamidronate	small molecule	M05BA03
scopolamine	small molecule	S01FA02
mecasermin	biotech	H01AC05
telaprevir	small molecule	J05AE11
anisindione	small molecule	
simeprevir	small molecule	J05AE14
pinus strobus pollen	biotech	
sodium zirconium cyclosilicate	small molecule	
apraclonidine	small molecule	S01EA03
lorpiprazole	small molecule	
nortriptyline	small molecule	N06AA10
tetrachlorodecaoxide	small molecule	
colestilan chloride	small molecule	V03AE06
nitroxoline	small molecule	J01XX07
melilotus albus pollen	biotech	
trimebutine	small molecule	A03AA05
sunflower seed	biotech	
metreleptin	biotech	
fusidic acid	small molecule	J01XC01
adenosine monophosphate	small molecule	
eugenol	small molecule	
parsnip	biotech	
benzoyl peroxide	small molecule	D10AE51
recombinant cholera toxin b subunit	biotech	
valganciclovir	small molecule	R03DA20
oyster	biotech	
chenopodium album pollen	biotech	
holcus lanatus pollen	biotech	
urochloa mutica pollen	biotech	
alcloxa	small molecule	
lifitegrast	small molecule	
cat dander extract	biotech	
potassium	small molecule	C03AB04
azficel-t	biotech	
arbutin	small molecule	
promazine	small molecule	N05AA03
benzyl benzoate	small molecule	P03AX01
felbamate	small molecule	N03AX10
ethchlorvynol	small molecule	N05CM08
prilocaine	small molecule	N01BB54
polistes annularis venom protein	biotech	
prasterone	small molecule	A14AA07
dl-dimyristoylphosphatidylglycerol	small molecule	
ofatumumab	biotech	L01XC10
loxoprofen	small molecule	
casein	biotech	
ustilago maydis	biotech	
apricot	biotech	
clinofibrate	small molecule	
aranidipine	small molecule	
peppermint	biotech	
magnesium citrate	small molecule	B05CB03
ridogrel	small molecule	
alemtuzumab	biotech	L04AA34
palivizumab	biotech	J06BB16
choline salicylate	small molecule	N02BA03
lobster	biotech	
lomitapide	small molecule	C10AX12
pork collagen	biotech	
diphenylpyraline	small molecule	R06AA57
docusate	small molecule	A06AG10
tolazoline	small molecule	C04AB02
paroxetine	small molecule	N06AB05
ambrosia acanthicarpa pollen	biotech	
anthrax vaccine	biotech	
adinazolam	small molecule	N05BA07
ibutilide	small molecule	C01BD05
cephaloridine	small molecule	J01DB02
starch, tapioca	biotech	
nefazodone	small molecule	N06AX06
vismodegib	small molecule	L01XX43
cotton	biotech	
lemon	biotech	
streptococcus pneumoniae type 1 capsular polysaccharide antigen	biotech	
dequalinium	small molecule	R02AA02
gramicidin d	small molecule	R02AB30
levobupivacaine	small molecule	N01BB10
streptococcus pneumoniae type 18c capsular polysaccharide antigen	biotech	
quercus lobata pollen	biotech	
avena sativa pollen	biotech	
asparaginase escherichia coli	biotech	L01XX02
tegafur-uracil	small molecule	
estradiol acetate	small molecule	
plasma protein fraction (human)	biotech	
atlantic cod	biotech	
octreotide	small molecule	H01CB02
meningococcal group c polysaccharide	biotech	
lisuride	small molecule	G02CB02
levobunolol	small molecule	S01ED03
streptococcus pneumoniae type 9n capsular polysaccharide antigen	biotech	
hydrocortamate	small molecule	
levosalbutamol	small molecule	
pilocarpine	small molecule	S01EB51
coagulation factor vii human	biotech	
miglitol	small molecule	A10BF02
quercus rubra pollen	biotech	
glatiramer	biotech	L03AX13
indium in-111 chloride	small molecule	
lactic acid	small molecule	G01AD01
pinus sylvestris pollen	biotech	
atlantic salmon	biotech	
fludrocortisone	small molecule	S01CA06
mirabegron	small molecule	G04BD12
sodium acetate	small molecule	B05XA08
fructose	small molecule	V06DC02
l-threonine	small molecule	
amphetamine	small molecule	N06BA01
streptococcus pneumoniae type 15b capsular polysaccharide antigen	biotech	
enasidenib	small molecule	
ibritumomab tiuxetan	biotech	V10XX02
pepsin	biotech	A09AA03
hexylcaine	small molecule	
sitotroga cerealella	biotech	
sorghum bicolor subsp. drummondii pollen	biotech	
levodopa	small molecule	N04BA03
zidovudine	small molecule	J05AR01
artemisia californica pollen	biotech	
palmitic acid	small molecule	
iopamidol	small molecule	V08AB04
levosimendan	small molecule	C01CX08
red snapper	biotech	
house dust	biotech	
ixekizumab	biotech	
testosterone enantate benzilic acid hydrazone	small molecule	
indapamide	small molecule	C03BA11
flucytosine	small molecule	D01AE21
geotrichum candidum	biotech	
factor ix complex (human)	biotech	
olaratumab	biotech	
cerivastatin	small molecule	C10AA06
abciximab	biotech	B01AC13
saccharomyces cerevisiae	biotech	
ammonia	small molecule	
zotepine	small molecule	N05AX11
aminosalicylic acid	small molecule	J04AA02
sulfamethoxazole	small molecule	J01EE01
pine needle oil (pinus mugo)	small molecule	
peanut	biotech	
selegiline	small molecule	N04BD01
esculin	small molecule	
tocainide	small molecule	C01BB03
guanfacine	small molecule	C02AC02
tobramycin	small molecule	S01AA12
gallamine triethiodide	small molecule	
ocriplasmin	biotech	S01XA22
fluoxetine	small molecule	N06CA03
cimicifuga racemosa	biotech	G02CX04
selexipag	small molecule	B01AC27
auranofin	small molecule	M01CB03
chloral hydrate	small molecule	N05CC01
phenoxymethylpenicillin	small molecule	J01CR50
captodiame	small molecule	N05BB02
influenza a virus a/switzerland/9715293/2013 nib-88 (h3n2) antigen (formaldehyde inactivated)	biotech	
equine botulinum neurotoxin b immune fab2	biotech	
asparagus	biotech	
cyclosporine	small molecule	S01XA18
voriconazole	small molecule	J02AC03
parnaparin	small molecule	B01AB07
methimazole	small molecule	H03BB02
methylprednisone	small molecule	
quercus velutina pollen	biotech	
grepafloxacin	small molecule	J01MA11
trichloroacetate	small molecule	
corynebacterium diphtheriae	biotech	
cisapride	small molecule	A03FA02
dinoprostone	small molecule	G02AD02
trimethobenzamide	small molecule	R06AA10
l-tyrosine	small molecule	
canis lupus familiaris dander	biotech	
ramipril	small molecule	C10BX04
candesartan cilexetil	small molecule	
perhexiline	small molecule	C08EX02
alginic acid	small molecule	A02BX13
tolcapone	small molecule	N04BX01
methyl undecenoyl leucinate	small molecule	
tildrakizumab	biotech	
amphotericin b	small molecule	J02AA01
cefoxitin	small molecule	J01DC01
ajmaline	small molecule	C01BA05
poliovirus type 2 antigen (formaldehyde inactivated)	biotech	
pomalidomide	small molecule	L04AX06
sodium aurothiomalate	small molecule	M01CB01
dicyclomine	small molecule	A03AA07
cholic acid	small molecule	A05AA03
human cord blood hematopoietic progenitor cell	biotech	
limaprost	small molecule	
somatostatin	small molecule	H01CB01
alprazolam	small molecule	N05BA12
setiptiline	small molecule	
streptococcus pneumoniae type 5 capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
solifenacin	small molecule	G04BD08
polydatin	small molecule	
rosoxacin	small molecule	J01MB01
methadyl acetate	small molecule	
indium in-111 pentetate	small molecule	V09AX01
atosiban	small molecule	G02CX01
benzoic acid	small molecule	V04CG30
calcium gluceptate	small molecule	A12AA10
nizatidine	small molecule	A02BA04
zopiclone	small molecule	N05CF01
ambrosia artemisiifolia pollen	biotech	
perazine	small molecule	N05AB10
ulmus pumila pollen	biotech	
st. john's wort	small molecule	N06AX25
droperidol	small molecule	N05AD08
calcium glycerophosphate	small molecule	
telithromycin	small molecule	J01FA15
abacavir	small molecule	J05AR02
aminophylline	small molecule	R03DA20
meropenem	small molecule	J01DH02
idarubicin	small molecule	L01DB06
thyrotropin alfa	biotech	H01AB01
sodium phosphate	small molecule	A06AD17
hesperetin	small molecule	
deserpidine	small molecule	C02AA05
tyloxapol	small molecule	R05CA01
magnesium trisilicate	small molecule	
pretomanid	small molecule	
sulpiride	small molecule	N05AL01
apple	biotech	
antrafenine	small molecule	
thiocolchicoside	small molecule	M03BX55
distichlis spicata pollen	biotech	
gluconic acid	small molecule	
zaltoprofen	small molecule	
norethynodrel	small molecule	G03FA09
thiamine	small molecule	A11DA01
microcrystalline cellulose	small molecule	
monoctanoin	small molecule	
gliquidone	small molecule	A10BB08
cyproterone acetate	small molecule	G03HB01
exenatide	biotech	A10BX04
emicizumab	biotech	
trimipramine	small molecule	N06AA06
menthyl salicylate	small molecule	
crotamiton	small molecule	
cenegermin	biotech	
gadofosveset trisodium	small molecule	V08CA11
oteracil	small molecule	
bisoctrizole	small molecule	
carboxin	small molecule	
mestranol	small molecule	
enprofylline	small molecule	
crab	biotech	
helminthosporium solani	biotech	
hepatitis b vaccine (recombinant)	biotech	
fish oil	small molecule	
nimodipine	small molecule	C08CA06
quahog, unspecified	biotech	
chloroquine	small molecule	P01BA01
demeclocycline	small molecule	J01AA01
olopatadine	small molecule	S01GX09
propiverine	small molecule	G04BD06
torasemide	small molecule	C03CA04
entacapone	small molecule	N04BX02
tangerine	biotech	
sodium bicarbonate	small molecule	B05XA02
lovastatin	small molecule	C10BA01
parathyroid hormone	biotech	H05AA03
acetyl sulfisoxazole	small molecule	G01AE10
laronidase	biotech	A16AB05
efinaconazole	small molecule	D01AC19
rabbit	biotech	
egg white	biotech	
paricalcitol	small molecule	H05BX02
isoflurane	small molecule	N01AB06
opium	small molecule	N02AA02
ticagrelor	small molecule	B01AC24
xenon-133	small molecule	V09EX03
streptococcus pneumoniae type 19f capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
estradiol dienanthate	small molecule	
fraxinus pennsylvanica pollen	biotech	
pramlintide	biotech	A10BX05
tamibarotene	small molecule	
nabiximols	small molecule	
asfotase alfa	biotech	A16AB13
procyclidine	small molecule	N04AA04
insulin beef	biotech	A10AE02
perampanel	small molecule	N03AX22
clodronic acid	small molecule	M05BA02
bazedoxifene	small molecule	G03CC07
dapagliflozin	small molecule	A10BX09
mannitol	small molecule	B05BC01
clofedanol	small molecule	R05DB10
amoxapine	small molecule	N06AA17
ambrosia chamissonis pollen	biotech	
dioctyldimonium	small molecule	
hypomyces perniciosus	biotech	
testosterone enanthate	small molecule	
roxatidine acetate	small molecule	A02BA06
berberine	small molecule	
chlormezanone	small molecule	M03BB02
carrot	biotech	
fluoride ion f-18	small molecule	V09IX06
shrimp	biotech	
imiglucerase	biotech	A16AB02
zinc picolinate	small molecule	
lamb	biotech	
ubiquinol	small molecule	
echothiophate	small molecule	S01EB03
pipobroman	small molecule	L01AX02
rhubarb	biotech	
arbutamine	small molecule	C01CA22
ifenprodil	small molecule	C04AX28
chymotrypsin	small molecule	S01KX01
digoxin	small molecule	C01AA05
thyroid, porcine	small molecule	
ketoconazole	small molecule	G01AF11
coagulation factor ix human	biotech	
eupatorium capillifolium pollen	biotech	
phoma glomerata	biotech	
milrinone	small molecule	C01CE02
efavirenz	small molecule	J05AR06
estrone	small molecule	G03CA07
benzethonium	small molecule	D08AJ08
iopodic acid	small molecule	V08AC10
tiagabine	small molecule	N03AG06
olea europaea pollen	biotech	
coral snake (micrurus fulvius) immune globulin antivenin (equine)	biotech	
macitentan	small molecule	C02KX04
pranlukast	small molecule	R03DC02
phleum pratense top	biotech	
tomato	biotech	
chlorphenesin	small molecule	D01AE07
cytisine	small molecule	
liquidambar styraciflua pollen	biotech	
trichoderma viride	biotech	
lindane	small molecule	P03AB02
manganese	small molecule	
aminocaproic acid	small molecule	B02AA01
sorafenib	small molecule	L01XE05
etofylline nicotinate	small molecule	C04AD04
choline c 11	small molecule	
methdilazine	small molecule	R06AD04
methyl nicotinate	small molecule	
safflower	biotech	
cyamemazine	small molecule	N05AA06
rimonabant	small molecule	A08AX01
streptococcus pneumoniae type 6a capsular polysaccharide diphtheria crm197 protein conjugate antigen	biotech	
treprostinil	small molecule	B01AC21
vitamin c	small molecule	A11GB01
vitamin a	small molecule	R01AX02
perospirone	small molecule	
artichoke	biotech	
vitamin e	small molecule	
guanidine	small molecule	
sucralfate	small molecule	A02BX02
bouteloua gracilis pollen	biotech	
vespula germanica venom protein	biotech	
glycolic acid	small molecule	
ranibizumab	biotech	S01LA04
juglans regia pollen	biotech	
streptococcus pneumoniae type 9v capsular polysaccharide antigen	biotech	
ambrosia bidentata pollen	biotech	
salmon calcitonin	biotech	H05BA01
eprosartan	small molecule	C09CA02
light green sf yellowish	small molecule	
nonacog beta pegol	biotech	
diloxanide	small molecule	P01AC01
cefminox	small molecule	J01DC12
fraxinus velutina pollen	biotech	
coccidioides immitis spherule	biotech	
nadh	small molecule	
curcuma aromatica root oil	small molecule	
cefpiramide	small molecule	J01DD11
cabazitaxel	small molecule	L01CD04
swordfish	biotech	
pyrazinamide	small molecule	J04AM06
hydrogen peroxide	small molecule	D08AX01
lutropin alfa	biotech	G03GA07
efonidipine	small molecule	
dalteparin	small molecule	B01AB04
dolutegravir	small molecule	J05AR13
paromomycin	small molecule	A07AA06
soybean oil	small molecule	
talimogene laherparepvec	biotech	
pantethine	small molecule	A11HA32
dextromethorphan	small molecule	R05DA09
mitomycin	small molecule	L01DC03
flunitrazepam	small molecule	N05CD03
ripasudil	small molecule	
enalaprilat	small molecule	
phensuximide	small molecule	N03AD02
phenazopyridine	small molecule	G04BX06
aedes taeniorhynchus	biotech	
naloxone	small molecule	V03AB15
medical air	small molecule	V03AN05
valaciclovir	small molecule	R03DA20
dermatophagoides farinae	biotech	V01AA03
ceruletide	small molecule	V04CC04
rumex crispus top	biotech	
abemaciclib	small molecule	
chromium cr-51	small molecule	
technetium tc-99m pertechnetate	small molecule	V09FX01
ebastine	small molecule	R06AX22
tolnaftate	small molecule	D01AE18
flunarizine	small molecule	N07CA03
lentil	biotech	
largemouth bass	biotech	
chenopodium botrys pollen	biotech	
pirbuterol	small molecule	R03CC07
artesunate	small molecule	P01BF03
dimethicone	small molecule	
triazolam	small molecule	N05CD05
protirelin	small molecule	V04CJ02
viomycin	small molecule	
pinus contorta pollen	biotech	
benzphetamine	small molecule	
sparfloxacin	small molecule	J01MA09
degarelix	small molecule	L02BX02
procaterol	small molecule	R03AC16
guselkumab	biotech	
delorazepam	small molecule	
cladribine	small molecule	L01BB04
populus nigra pollen	biotech	
ribociclib	small molecule	
anistreplase	biotech	B01AD03
brexpiprazole	small molecule	N05AX16
human rabies virus immune globulin	biotech	
nelfinavir	small molecule	J05AE04
josamycin	small molecule	J01FA07
bromhexine	small molecule	R05CB02
boceprevir	small molecule	J05AE12
methenamine	small molecule	J01XX05
beclomethasone dipropionate	small molecule	R03BA01
eltrombopag	small molecule	B02BX05
bupranolol	small molecule	C07AA19
alternaria alternata	biotech	
stiripentol	small molecule	N03AX17
mycocladus corymbiferus	biotech	
carbetocin	small molecule	H01BB03
norgestrel	small molecule	G03FB01
belladonna	biotech	
marimastat	small molecule	
hepatitis b immune globulin	biotech	
magnesium salicylate	small molecule	
vandetanib	small molecule	L01XE12
azlocillin	small molecule	J01CR50
ethanolamine oleate	small molecule	C05BB01
brompheniramine	small molecule	R06AB51
paraldehyde	small molecule	N05CC05
naratriptan	small molecule	N02CC02
benzatropine	small molecule	N04AC01
travoprost	small molecule	S01EE04
dobutamine	small molecule	C01CA07
keyhole limpet hemocyanin	biotech	
testosterone cypionate	small molecule	
temozolomide	small molecule	L01AX03
acenocoumarol	small molecule	B01AA07
interferon alfa-n3	biotech	
meclizine	small molecule	R06AE55
interferon alfa-n1	biotech	L03AB06
cisatracurium	small molecule	M03AC11
pentagastrin	small molecule	V04CG04
diethylpropion	small molecule	A08AA03
huperzine a	small molecule	
potassium hydroxide	small molecule	
scorpion (centruroides) immune fab2 antivenin (equine)	biotech	
clevidipine	small molecule	C08CA16
fomepizole	small molecule	V03AB34
mimosine	small molecule	
bemiparin	small molecule	B01AB12
cysteamine	small molecule	S01XA21
fluclorolone acetonide	small molecule	
sugammadex	small molecule	V03AB35
becaplermin	biotech	A01AD08
bleomycin	small molecule	L01DC01
brentuximab vedotin	biotech	L01XC12
tetrofosmin	small molecule	
tranilast	small molecule	
interferon beta-1a	biotech	L03AB07
interferon beta-1b	biotech	L03AB08
northern pike	biotech	
dimetotiazine	small molecule	N02CX05
barnidipine	small molecule	C08CA12
phenylacetic acid	small molecule	
besilesomab	biotech	
fosamprenavir	small molecule	J05AE07
helianthus annuus pollen	biotech	
anthoxanthum odoratum pollen	biotech	
tilia americana pollen	biotech	
diethylamino hydroxybenzoyl hexyl benzoate	small molecule	
dexmedetomidine	small molecule	N05CM18
secukinumab	biotech	L04AC10
proparacaine	small molecule	S01HA04
tiopronin	small molecule	R05CB12
moxisylyte	small molecule	C04AX10
trimethaphan	small molecule	C02BA01
fluocinolone acetonide	small molecule	S02BA08
mepivacaine	small molecule	N01BB53
isosorbide mononitrate	small molecule	C01DA14
meclofenamic acid	small molecule	M01AG04
pinus banksiana pollen	biotech	
sulfamethazine	small molecule	J01EE05
streptozocin	small molecule	L01AD04
lanreotide	small molecule	H01CB03
influenza a virus a/bolivia/559/2013 (h1n1) live (attenuated) antigen	biotech	
malathion	small molecule	P03AX03
tauroursodeoxycholic acid	small molecule	
urtica dioica pollen	biotech	
tenofovir disoproxil	small molecule	J05AR03
dexfenfluramine	small molecule	A08AA04
clove oil	small molecule	
ubidecarenone	small molecule	C01EB09
diazepam	small molecule	N05BA01
clove	biotech	
racepinephrine	small molecule	
phloxine b	small molecule	
benperidol	small molecule	N05AD07
agrostis gigantea pollen	biotech	
iron dextran	small molecule	
dexpanthenol	small molecule	A11HA30
rimantadine	small molecule	J05AC02
homosalate	small molecule	
proguanil	small molecule	P01BB51
magnesium acetate tetrahydrate	small molecule	
reteplase	biotech	B01AD07
lobeglitazone	small molecule	
atazanavir	small molecule	J05AE08
serine	small molecule	
human papillomavirus type 11 l1 capsid protein antigen	biotech	
perboric acid	small molecule	A01AB19
lornoxicam	small molecule	M01AC05
etodolac	small molecule	M01AB08
prednisone	small molecule	H02AB07
equine botulinum neurotoxin g immune fab2	biotech	
gestodene	small molecule	G03AA10
pineapple	biotech	
bilastine	small molecule	R06AX29
tripelennamine	small molecule	D04AA04
lidocaine	small molecule	C01BB01
acarbose	small molecule	A10BF01
mequitazine	small molecule	R06AD07
nabilone	small molecule	A04AD11
propafenone	small molecule	C01BC03
felis catus hair	biotech	
bentoquatam	small molecule	
plazomicin	small molecule	
desvenlafaxine	small molecule	N06AX23
omega-3-acid ethyl esters	small molecule	
monobenzone	small molecule	D11AX13
levonorgestrel	small molecule	G03FA11
eletriptan	small molecule	N02CC06
brivaracetam	small molecule	N03AX23
silodrate	small molecule	
cetuximab	biotech	L01XC06
carya ovata pollen	biotech	
crotalus atrox antivenin	biotech	
daunorubicin	small molecule	L01DB02
saquinavir	small molecule	J05AE01
trametinib	small molecule	L01XE25
enzalutamide	small molecule	L02BB04
aprotinin	biotech	B02AB01
gadolinium	small molecule	
secretin porcine	biotech	
tiapride	small molecule	N05AL03
chicken	biotech	
tolterodine	small molecule	G04BD07
dienestrol	small molecule	G03CB01
chloroxine	small molecule	
hexobarbital	small molecule	N01AF02
calcium chloride	small molecule	A12AA07
aminohippuric acid	small molecule	V04CH30
safflower oil	biotech	
atracurium besylate	small molecule	
hops	biotech	
cholestyramine	small molecule	C10AC01
festuca pratensis pollen	biotech	
oxilofrine	small molecule	
crotalus scutulatus antivenin	biotech	
sulfapyridine	small molecule	J01EB04
pemirolast	small molecule	
oxyphencyclimine	small molecule	A03CA03
fluorometholone	small molecule	D10AA01
white catfish	biotech	
menadione	small molecule	B02BA02
lenograstim	biotech	L03AA10
eurotium herbariorum	biotech	
ritodrine	small molecule	G02CA01
clobetasone	small molecule	S01BA09
trovafloxacin	small molecule	J01MA13
ensulizole	small molecule	
musca domestica	biotech	
sacrosidase	biotech	A16AB06
clopidogrel	small molecule	B01AC04
physostigmine	small molecule	S01EB05
gemcitabine	small molecule	L01BC05
defibrotide	biotech	B01AX01
pheniramine	small molecule	R06AB05
dydrogesterone	small molecule	G03FA14
fluphenazine	small molecule	N05AB02
ethyl loflazepate	small molecule	N05BA18
protein c	biotech	B01AD12
arabica coffee bean	biotech	
aluminum zirconium pentachlorohydrex gly	small molecule	
fluticasone furoate	small molecule	R03AK10
dexibuprofen	small molecule	M01AE14
raxibacumab	biotech	J06BB18
alprostadil	small molecule	C01EA01
edaravone	small molecule	
spaglumic acid	small molecule	R01AC05
imidafenacin	small molecule	
nordazepam	small molecule	N05BA16
insulin aspart	biotech	A10AD06
ribostamycin	small molecule	J01GB10
titanium dioxide	small molecule	
kanamycin	small molecule	A07AA08
novobiocin	small molecule	
gabapentin	small molecule	N03AX12
calcium saccharate	small molecule	
goat milk	biotech	
calcium lactate	small molecule	A12AA05
nitrogen	small molecule	V03AN04
sarilumab	biotech	
methylprednisolone	small molecule	D07CA02
cresol	small molecule	
mucor plumbeus	biotech	
o-(2,4-dichlorophenyl)-o-methyl-isopropylphosphoramidothioate	small molecule	
iobenguane	small molecule	V09IX02
salsola kali pollen	biotech	
amsacrine	small molecule	L01XX01
cetylpyridinium	small molecule	B05CA01
omacetaxine mepesuccinate	small molecule	L01XX40
guanabenz	small molecule	
alendronic acid	small molecule	M05BA04
apis mellifera venom	biotech	
honeydew melon	biotech	
strawberry	biotech	
clomifene	small molecule	G03GB02
levocabastine	small molecule	R01AC02
morniflumate	small molecule	M01AX22
mebutamate	small molecule	N05BC04
canagliflozin	small molecule	A10BX11
doxepin	small molecule	N06AA12
fluconazole	small molecule	J02AC01
nimesulide	small molecule	M02AA26
sulfamoxole	small molecule	J01EE04
aspartame	small molecule	
human papillomavirus type 18 l1 capsid protein antigen	biotech	
chili pepper	biotech	
raltegravir	small molecule	J05AX08
alefacept	biotech	L04AA15
mersalyl	small molecule	C03BC01
varicella zoster vaccine (recombinant)	biotech	
methylergometrine	small molecule	G02AC01
conivaptan	small molecule	C03XA02
riamet	small molecule	
carbinoxamine	small molecule	R06AA08
tetradecyl hydrogen sulfate (ester)	small molecule	
populus fremontii pollen	biotech	
diacerein	small molecule	M01AX21
juniperus pinchotii pollen	biotech	
donepezil	small molecule	N06DA02
avobenzone	small molecule	
topotecan	small molecule	L01XX17
doxercalciferol	small molecule	H05BX03
neisseria meningitidis group a capsular polysaccharide diphtheria toxoid conjugate antigen	biotech	
iodoform	small molecule	D09AA13
pegademase bovine	biotech	
influenza a virus a/california/7/2009 x-179a (h1n1) antigen (formaldehyde inactivated)	biotech	
interferon alfacon-1	biotech	L03AB09
mepyramine	small molecule	R06AC01
timolol	small molecule	C07DA06
betazole	small molecule	V04CG02
tilarginine	small molecule	
flumethasone	small molecule	D07XB01
propantheline	small molecule	A03AB05
acrivastine	small molecule	R06AX18
doxycycline	small molecule	A01AB22
nicardipine	small molecule	C08CA04
fluprednisolone	small molecule	
tixocortol	small molecule	A07EA05
oregano	biotech	
rosiglitazone	small molecule	A10BD03
chromium	small molecule	
white pepper	biotech	
diethylcarbamazine	small molecule	P02CB02
gabapentin enacarbil	small molecule	
mazindol	small molecule	A08AA05
trandolapril	small molecule	C09AA10
exametazime	small molecule	
naltrexone	small molecule	A08AA62
dihydrotachysterol	small molecule	A11CC02
meningococcal polysaccharide vaccine group y	biotech	
hydroxypropyl cellulose	small molecule	
zonisamide	small molecule	N03AX15
bepotastine	small molecule	
triflupromazine	small molecule	N05AA05
colestipol	small molecule	C10AC02
mumps virus strain b level jeryl lynn live antigen	biotech	
rescinnamine	small molecule	C02AA01
levetiracetam	small molecule	N03AX14
cefixime	small molecule	J01DD08
pefloxacin	small molecule	J01MA03
valrubicin	small molecule	L01DB09
furazolidone	small molecule	G01AX06
tisagenlecleucel	biotech	
tolvaptan	small molecule	C03XA01
orange	biotech	
buclizine	small molecule	R06AE51
starch, corn	small molecule	
linagliptin	small molecule	A10BH05
indinavir	small molecule	J05AE02
yttrium y-90	small molecule	V10AA01
regadenoson	small molecule	C01EB21
methyl cellulose	small molecule	A06AC06
black-eyed pea	biotech	
iocetamic acid	small molecule	V08AC07
dirithromycin	small molecule	J01FA13
kava	small molecule	
spermine	small molecule	
vanilla	biotech	
almotriptan	small molecule	N02CC05
telavancin	small molecule	J01XA03
ropinirole	small molecule	N04BC04
lepirudin	biotech	B01AE02
krascheninnikovia lanata pollen	biotech	
aspergillus terreus	biotech	
fluspirilene	small molecule	N05AG01
ergotamine	small molecule	N02CA52
cocamidopropyl betaine	small molecule	
apalutamide	small molecule	
brazil nut	biotech	
chloramphenicol	small molecule	G01AA05
alpha-tocopherol acetate	small molecule	
enoxacin	small molecule	J01MA04
nilutamide	small molecule	L02BB02
rhodotorula mucilaginosa	biotech	
cevimeline	small molecule	N07AX03
mivacurium	small molecule	M03AC10
calcium phosphate	small molecule	A11GB01
artemisia vulgaris pollen	biotech	
clioquinol	small molecule	G01AC02
amiloxate	small molecule	
bethanechol	small molecule	N07AB02
trichloroethylene	small molecule	N01AB05
sirolimus	small molecule	S01XA23
lolium perenne pollen	biotech	
mycophenolate mofetil	small molecule	
trolamine	small molecule	D03AX12
lamivudine	small molecule	J05AR02
rubidium rb-82	small molecule	
docosanol	small molecule	D06BB11
lactobacillus plantarum	small molecule	
perflutren	small molecule	
disopyramide	small molecule	C01BA03
vindesine	small molecule	L01CA03
capra hircus hair	biotech	
dimethyl sulfoxide	small molecule	G04BX13
galantamine	small molecule	N06DA04
hydroxyzine	small molecule	N05BB51
ertapenem	small molecule	J01DH03
juniperus monosperma pollen	biotech	
levamlodipine	small molecule	
teduglutide	biotech	A16AX08
kaolin	small molecule	A07BC02
minocycline	small molecule	A01AB23
calcium acetate	small molecule	A11GB01
broccoli	biotech	
pholcodine	small molecule	R05DA08
celiprolol	small molecule	C07AB08
light mineral oil	small molecule	
clocapramine	small molecule	
flunisolide	small molecule	R01AD04
moexipril	small molecule	C09AA13
butethal	small molecule	N05CA03
alvimopan	small molecule	A06AH02
hydroquinone	small molecule	D11AX11
nintedanib	small molecule	L01XE31
canrenoic acid	small molecule	C03DA02
temsirolimus	small molecule	L01XE09
fluocinonide	small molecule	D07CC05
debrisoquin	small molecule	C02CC04
glycine	small molecule	B05CX03
benserazide	small molecule	
zafirlukast	small molecule	R03DC01
tavaborole	small molecule	
octocrylene	small molecule	
benzylpenicillin	small molecule	J01CE01
